age,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days
44,7,16.42,32.61,14,9,6,19,0,0,2,5,2,3,4.0,0.94,72.71,649
59,11,3.73,67.78,9,9,2,17,0,0,33,5,1,2,3.0,0.27,35.2,631
45,7,9.71,42.66,15,5,6,8,0,1,22,4,7,2,4.0,0.03,44.53,270
33,8,6.52,26.01,16,5,2,9,2,0,38,7,4,3,5.0,0.33,71.47,96
32,7,9.81,40.61,10,4,5,11,0,0,39,3,5,0,4.0,0.58,57.15,986
20,18,27.97,96.2,18,4,4,4,1,0,43,4,4,1,4.0,0.88,55.54,657
54,9,13.45,29.45,18,10,7,16,0,0,22,3,4,4,5.0,0.72,68.26,535
24,8,14.39,31.3,12,4,5,5,0,0,18,8,2,3,4.0,0.25,39.1,82
38,11,10.65,52.53,7,9,5,20,0,0,36,9,3,3,5.0,0.57,54.6,420
26,5,7.11,33.97,15,6,8,6,0,0,22,4,3,1,2.0,0.37,95.65,453
56,3,28.53,71.31,12,4,5,14,0,0,2,8,5,2,5.0,0.43,71.31,847
35,8,28.76,41.49,13,6,6,5,1,0,26,5,1,2,4.0,0.76,59.79,824
21,9,3.71,21.55,14,5,3,14,0,0,12,5,4,1,4.0,0.6,83.57,332
42,5,14.16,73.75,14,3,5,6,0,0,29,7,3,0,4.0,0.44,57.69,196
31,10,31.83,58.74,13,7,3,11,1,0,42,3,1,6,4.0,0.02,51.78,189
26,11,24.4,45.43,16,9,8,8,0,1,5,5,3,2,4.0,0.44,50.22,164
43,9,7.9,49.39,14,3,1,13,1,0,32,5,7,2,4.0,0.55,75.46,321
19,12,7.81,41.19,12,6,5,22,2,0,3,4,1,5,4.0,0.3,30.84,522
37,7,12.42,76.37,11,5,3,14,0,0,37,8,5,2,4.0,0.7,43.1,913
45,9,38.01,19.16,11,10,5,13,0,0,35,7,4,3,3.0,0.55,43.8,561
24,9,19.36,54.3,5,5,3,15,0,0,23,6,4,2,1.0,0.22,83.76,830
25,8,33.17,60.68,11,4,7,17,0,0,33,10,4,3,3.0,0.88,94.83,1090
52,7,6.79,46.89,14,4,6,18,1,1,23,5,1,2,4.0,0.88,59.4,975
31,8,10.34,47.9,12,2,5,17,0,0,5,6,2,0,4.0,0.43,56.48,59
34,6,17.51,41.8,12,4,5,15,0,0,36,9,2,6,4.0,0.07,67.1,22
53,8,26.34,45.67,8,9,1,4,2,0,4,8,0,0,5.0,0.14,56.76,1098
57,5,23.81,42.71,12,4,5,24,1,1,44,8,4,3,4.0,0.72,75.24,153
21,11,17.66,50.51,14,5,8,6,1,0,7,7,4,2,4.0,0.24,62.56,334
19,7,9.46,63.57,13,6,4,7,0,0,3,6,3,3,4.0,0.63,59.02,677
23,10,16.43,38.6,19,3,6,16,0,1,15,11,3,0,2.0,0.01,45.31,1006
59,10,12.44,5.0,11,9,2,24,0,0,1,7,4,1,4.0,0.63,59.45,56
21,11,18.83,10.35,15,6,5,21,0,0,14,3,1,0,5.0,0.01,59.85,444
46,15,12.59,19.44,15,5,4,11,0,1,39,9,1,1,3.0,0.2,71.08,865
35,8,10.98,52.47,13,4,3,22,0,0,22,9,3,3,2.0,0.95,39.56,197
43,11,5.39,55.93,12,5,2,11,0,0,42,1,4,4,4.0,0.94,55.7,608
51,3,5.83,93.11,14,3,9,12,0,0,26,2,3,4,2.0,0.36,66.11,1161
27,7,15.82,52.95,15,1,4,5,1,1,29,6,5,1,4.0,0.54,53.92,879
53,6,15.91,43.81,13,7,4,18,0,0,44,3,1,1,3.0,0.04,92.94,1023
31,9,21.07,65.98,12,3,6,15,1,0,4,4,2,3,5.0,0.49,45.9,634
48,9,25.4,38.07,17,6,7,14,1,0,9,6,1,3,3.0,0.3,84.71,776
32,5,16.15,34.77,14,5,7,18,0,0,19,8,2,3,5.0,0.69,76.78,1173
25,3,13.04,6.06,19,5,4,18,0,0,17,6,2,1,4.0,0.46,65.79,130
31,7,12.42,31.07,12,3,8,24,1,0,13,3,3,3,2.0,0.6,47.78,646
40,13,21.75,57.3,13,5,5,17,2,0,34,6,0,4,3.0,0.39,79.61,170
57,12,8.38,46.04,6,5,6,22,0,0,11,4,2,4,2.0,0.26,74.54,579
38,6,7.01,38.98,10,5,8,6,0,0,40,8,3,2,4.0,0.34,66.99,1195
33,6,9.42,53.25,11,2,3,22,0,0,12,7,4,2,5.0,0.93,64.52,1180
35,9,19.69,54.39,14,3,3,11,0,0,41,6,4,1,3.0,0.76,65.32,830
41,16,3.22,34.91,9,6,5,3,0,0,28,9,1,2,4.0,0.52,75.9,1140
43,7,9.82,53.82,8,3,5,9,0,1,5,3,1,2,3.0,0.75,82.57,846
42,8,16.09,51.21,16,8,6,4,0,0,26,6,4,1,3.0,0.79,51.93,683
58,6,12.48,5.0,13,6,4,20,0,0,30,3,7,2,5.0,0.7,82.77,1048
46,5,7.57,24.11,12,3,5,7,1,0,14,11,3,3,3.0,0.08,81.31,444
32,3,32.47,51.59,6,9,3,5,0,2,26,7,2,2,4.0,0.82,68.16,1111
18,8,12.64,47.99,15,4,3,21,1,0,41,7,1,3,3.0,0.27,80.35,853
42,5,9.78,55.88,5,4,6,8,1,0,11,6,2,0,4.0,0.05,69.97,721
24,8,4.78,46.27,7,6,3,12,0,1,2,6,2,2,4.0,0.25,76.9,80
26,11,1.87,24.05,12,6,0,8,0,1,40,2,1,1,3.0,0.67,62.71,85
41,9,34.64,28.9,17,6,6,10,0,0,39,3,0,3,5.0,0.42,87.04,317
18,10,12.95,35.74,16,6,7,15,1,0,8,5,1,2,3.0,0.49,50.21,1021
25,7,15.71,57.07,9,5,2,5,0,1,1,5,3,2,3.0,0.64,74.99,180
41,13,14.05,16.52,15,5,2,18,0,0,38,2,4,0,3.0,0.21,59.01,1107
28,14,18.63,79.82,7,7,7,17,0,0,0,6,2,1,3.0,0.85,51.33,456
34,8,7.35,17.64,17,9,4,9,0,0,16,6,5,3,5.0,0.78,63.75,562
25,6,16.83,46.96,7,5,10,11,1,0,42,4,1,1,2.0,0.08,53.19,603
52,11,3.0,36.3,15,10,2,20,0,2,1,6,0,0,2.0,0.34,63.12,515
52,5,12.57,29.14,19,3,5,18,0,0,31,4,2,2,4.0,0.22,71.88,463
50,5,15.86,34.94,14,3,6,4,0,0,24,6,4,2,4.0,0.35,41.02,488
22,6,7.87,47.42,10,7,2,18,2,0,28,4,4,2,5.0,0.6,99.48,976
59,5,21.88,51.81,7,11,4,6,2,0,38,7,2,1,4.0,0.78,55.18,752
56,5,8.78,64.02,11,4,7,11,1,0,7,5,3,4,1.0,0.18,66.0,278
58,7,16.34,45.11,15,4,5,4,0,0,6,5,2,2,4.0,0.18,70.31,183
45,10,8.24,36.82,5,7,4,15,1,0,29,3,4,0,2.0,0.26,56.42,380
24,12,3.66,61.12,7,5,4,10,0,0,16,10,4,3,2.0,0.26,76.83,691
26,8,17.8,59.14,16,8,4,15,1,0,28,10,3,1,3.0,0.74,62.95,554
25,6,11.52,55.15,12,6,2,11,0,0,3,3,1,4,1.0,0.83,59.99,622
29,5,1.69,39.88,10,8,5,8,1,0,14,5,4,2,5.0,0.48,49.63,383
51,8,18.02,44.75,12,3,2,9,1,0,3,5,3,1,4.0,0.21,65.07,48
50,10,3.06,55.31,18,6,7,7,1,0,41,5,1,3,4.0,0.11,63.82,530
40,4,7.79,71.49,11,4,4,15,1,0,17,5,1,3,4.0,0.65,91.07,673
41,12,11.66,49.1,12,9,4,4,0,0,19,9,2,3,3.0,0.55,74.46,730
54,15,27.41,45.09,19,7,4,3,2,0,24,8,3,2,3.0,0.27,44.05,1149
52,11,23.92,41.19,16,5,3,10,0,0,5,8,3,1,4.0,0.63,59.41,58
57,9,19.63,17.3,14,4,7,9,1,0,3,6,4,1,4.0,0.56,58.58,69
39,8,12.79,39.5,15,4,3,11,0,0,23,5,3,1,5.0,0.14,80.57,902
44,11,19.66,48.9,13,5,2,3,0,1,22,4,3,2,5.0,0.66,48.91,1187
52,9,6.93,16.57,12,5,3,20,2,0,29,4,2,0,4.0,0.21,47.51,713
18,4,18.27,71.99,11,5,3,21,0,0,14,4,4,1,5.0,0.77,36.27,469
52,10,21.89,37.09,6,3,6,19,0,0,30,9,2,2,1.0,0.91,64.58,246
54,10,22.74,87.9,8,6,7,9,1,0,36,4,3,2,4.0,0.35,78.88,454
31,9,14.01,46.05,10,9,4,12,0,0,32,10,2,0,5.0,0.04,83.1,366
20,4,7.99,49.97,14,5,3,22,0,0,19,5,11,0,5.0,0.97,54.16,345
18,13,16.98,56.5,15,4,4,4,0,1,7,4,0,5,1.0,0.6,40.89,381
22,12,19.56,47.18,11,7,6,9,0,0,32,13,2,6,4.0,0.97,49.93,445
43,10,9.61,19.82,13,3,3,19,0,0,6,6,2,1,4.0,0.09,94.76,449
31,6,6.4,18.11,13,4,3,10,1,0,18,5,3,4,1.0,0.39,81.58,841
56,4,33.64,27.57,14,5,1,23,0,0,42,4,7,5,5.0,0.77,70.69,623
44,11,27.82,27.14,13,8,5,13,0,0,12,8,2,4,1.0,0.81,77.19,134
26,3,24.57,31.07,8,7,2,17,0,1,18,4,2,5,4.0,0.24,34.77,54
32,15,11.55,53.32,12,3,1,11,0,0,17,5,2,1,4.0,0.27,69.44,378
32,12,6.69,26.41,12,6,1,16,0,0,42,5,5,2,3.0,0.48,60.89,910
43,12,21.95,53.86,14,3,0,8,0,2,32,6,1,0,5.0,0.58,95.73,732
59,5,22.31,53.69,7,7,2,20,0,1,43,7,3,4,5.0,0.49,71.17,756
30,8,16.37,5.0,11,6,3,7,1,1,28,5,5,2,5.0,0.21,61.69,160
49,9,7.71,81.14,15,6,7,13,2,0,6,6,3,5,4.0,0.72,49.15,1141
56,6,59.19,57.55,8,7,6,24,0,1,3,1,2,2,4.0,0.39,66.21,1015
49,10,8.99,23.37,14,9,7,10,0,0,41,7,3,5,4.0,0.92,60.62,1064
21,7,24.49,52.19,10,9,1,10,1,0,27,7,6,0,4.0,0.77,76.28,257
47,6,6.21,36.34,13,4,4,3,0,0,41,7,3,1,4.0,0.5,50.23,657
54,9,4.81,28.63,12,2,3,14,0,2,22,12,2,1,4.0,0.77,72.39,48
40,4,4.35,32.47,12,3,3,24,1,0,42,6,5,2,4.0,0.52,86.46,1098
56,16,11.18,5.87,10,9,2,3,0,0,25,6,2,2,5.0,0.07,63.59,589
32,8,6.19,41.3,16,3,4,6,0,0,9,7,3,2,3.0,0.51,74.3,511
46,8,35.16,54.47,13,5,3,5,0,0,24,6,1,2,4.0,0.71,41.36,18
53,4,3.94,61.13,8,5,4,21,1,0,41,5,1,6,5.0,0.66,60.1,497
30,7,5.64,26.42,10,10,5,14,0,1,41,11,3,2,5.0,0.5,55.49,41
49,9,10.21,72.93,10,6,2,5,0,1,15,5,0,1,4.0,0.42,47.37,1031
24,4,1.8,68.85,14,3,5,18,2,0,3,3,2,0,5.0,0.26,75.16,65
39,10,7.12,62.57,11,5,4,16,1,0,36,7,3,2,4.0,0.41,42.69,716
45,4,17.15,33.22,6,8,6,8,0,0,40,3,2,1,3.0,0.32,55.33,480
19,13,2.46,35.91,14,1,3,4,0,0,21,2,1,1,4.0,0.19,42.31,128
59,13,17.14,76.03,17,1,4,9,0,0,27,5,4,5,5.0,0.02,69.34,891
23,5,21.82,61.58,19,4,3,15,0,0,17,9,2,4,4.0,0.78,53.98,1036
45,5,13.21,5.0,12,8,4,10,1,0,3,2,1,2,4.0,0.44,76.94,122
45,7,19.76,32.85,13,4,2,12,0,0,38,3,3,2,2.0,0.73,65.33,872
37,7,17.85,32.66,8,5,4,7,1,0,14,4,3,5,4.0,0.84,45.54,204
47,6,8.26,5.0,7,0,4,14,0,0,31,7,1,5,4.0,0.57,42.2,536
28,9,0.97,39.66,12,1,4,10,0,0,28,6,2,2,1.0,0.36,51.84,895
45,7,2.6,63.53,9,5,5,23,1,0,4,4,2,2,4.0,0.74,52.39,151
42,10,8.6,18.49,13,7,5,18,2,0,12,12,3,1,5.0,0.63,76.77,307
56,9,30.7,44.46,17,2,2,16,1,0,8,6,3,2,5.0,0.89,54.43,34
50,13,2.16,12.06,16,8,4,5,2,0,16,5,2,2,3.0,0.15,52.06,760
18,11,9.41,43.43,9,9,8,9,1,0,37,4,2,3,3.0,0.28,58.55,739
44,8,14.38,5.0,11,5,6,18,3,0,21,5,2,1,4.0,0.23,72.71,1178
30,8,17.54,41.23,19,5,5,14,1,0,31,4,3,4,5.0,0.91,67.8,426
58,9,16.82,51.09,11,8,4,16,0,0,3,3,1,1,4.0,0.93,72.77,535
20,5,5.84,44.11,11,5,3,18,0,0,15,7,1,1,4.0,0.16,84.9,375
56,9,10.71,33.07,13,7,0,19,0,0,7,7,3,2,4.0,0.38,67.8,1012
23,6,9.76,12.39,13,2,5,4,1,0,5,6,3,2,3.0,0.87,74.49,689
25,6,8.65,79.79,12,6,7,23,0,1,16,6,2,3,3.0,0.36,52.68,1184
44,9,12.38,39.76,7,4,3,5,0,0,39,3,6,1,5.0,0.43,83.47,686
26,9,17.03,19.84,6,4,4,11,1,1,12,8,4,2,4.0,0.51,72.01,1195
54,6,29.47,27.98,14,3,5,22,0,0,14,8,5,1,4.0,0.3,64.83,443
50,9,5.95,31.05,10,6,5,6,0,0,29,3,1,5,5.0,0.73,72.97,310
59,11,10.05,23.03,6,3,3,9,0,0,23,9,9,2,4.0,0.41,65.19,157
41,5,6.57,65.74,7,4,1,16,0,0,43,4,8,1,4.0,0.0,51.75,932
32,10,0.78,63.34,15,3,3,14,1,1,1,8,2,2,2.0,0.61,53.7,566
49,3,15.67,5.21,15,5,3,12,2,0,1,5,1,2,4.0,0.21,71.41,1137
49,8,20.54,53.33,9,2,2,24,1,0,43,10,4,3,5.0,0.14,92.83,1054
41,15,5.12,22.05,10,7,5,19,0,0,37,5,1,3,4.0,0.02,43.3,715
58,5,6.76,46.85,17,6,4,4,0,0,42,6,2,4,4.0,0.76,49.24,1038
29,6,13.91,38.21,11,3,3,18,0,0,17,6,1,2,1.0,0.39,58.75,976
56,15,21.14,47.58,10,7,3,22,0,0,36,12,3,1,4.0,0.49,23.17,624
19,7,1.47,56.58,13,6,5,10,0,0,4,9,0,2,3.0,0.41,56.8,19
20,12,6.89,62.18,15,7,5,16,0,0,35,5,1,0,4.0,0.87,83.15,129
54,5,8.94,66.81,10,6,2,18,0,0,33,4,5,4,4.0,0.78,49.09,1044
34,10,22.7,46.55,8,5,7,4,1,0,19,7,3,4,3.0,0.37,84.43,460
19,8,29.1,21.08,15,4,6,3,0,0,10,10,3,0,3.0,0.97,55.92,1066
19,11,12.7,51.05,16,8,8,8,1,0,34,13,3,1,3.0,0.07,56.47,1039
45,10,4.67,29.54,14,8,2,18,0,0,13,1,5,0,5.0,0.99,70.87,336
40,8,10.3,58.88,12,2,2,4,0,0,21,6,7,2,4.0,0.29,56.43,846
54,6,14.44,15.0,15,10,2,12,2,0,3,6,4,2,5.0,0.01,60.13,856
49,4,7.97,37.02,7,4,2,18,0,0,44,6,5,0,4.0,0.04,78.56,227
50,3,12.96,58.12,22,5,4,21,1,1,23,8,4,1,4.0,0.9,66.2,998
18,5,8.66,35.89,14,3,2,7,1,0,28,7,2,4,4.0,0.59,79.84,124
36,3,2.85,41.53,9,3,3,15,2,0,31,5,2,2,4.0,0.54,29.89,149
19,5,18.32,34.52,16,4,4,12,0,0,40,4,2,3,4.0,0.85,44.09,920
43,6,26.64,63.85,12,5,2,10,0,0,41,8,3,2,3.0,0.12,69.65,134
49,11,9.14,53.16,10,11,6,15,0,0,0,12,3,2,4.0,0.56,60.47,52
23,10,11.35,36.27,8,5,5,24,1,0,37,2,1,0,2.0,0.87,63.68,43
49,8,6.83,55.94,16,8,11,14,0,0,4,7,1,4,4.0,0.57,77.59,808
21,10,9.23,38.73,10,3,5,6,1,0,32,4,4,3,5.0,0.88,69.08,954
28,9,9.05,35.89,13,4,3,16,0,0,3,3,5,1,4.0,0.26,51.38,109
34,4,19.86,43.86,17,2,2,16,0,0,13,7,4,3,4.0,0.49,40.64,254
55,14,5.33,77.06,8,7,4,3,0,1,16,9,4,4,4.0,0.14,35.11,1131
41,8,24.48,49.45,8,5,0,11,1,0,5,4,5,0,4.0,0.33,72.33,1080
22,7,30.38,24.89,17,3,2,22,0,0,34,6,2,1,2.0,0.99,63.7,312
51,8,19.65,24.29,13,5,5,14,0,0,5,7,2,4,4.0,0.44,47.86,912
23,9,8.59,66.46,10,7,3,13,0,0,32,13,2,1,4.0,0.95,59.64,464
39,11,11.4,9.29,9,3,8,15,0,0,19,4,3,1,3.0,0.05,53.58,597
28,6,17.01,70.05,13,4,1,10,0,0,44,5,1,2,5.0,0.91,65.29,1190
33,4,13.28,5.0,12,2,4,18,2,0,12,11,7,2,4.0,0.86,52.33,149
50,8,6.42,77.67,6,2,6,4,0,1,25,8,1,1,4.0,0.11,81.16,607
26,10,4.03,47.45,5,1,5,3,0,0,29,2,4,1,4.0,0.15,48.16,796
23,9,18.41,33.51,16,1,3,7,2,1,43,4,2,1,2.0,0.63,64.72,747
33,8,13.2,66.79,16,10,3,10,0,0,11,4,4,3,5.0,0.76,77.99,850
46,9,9.38,28.43,14,5,4,15,0,1,36,6,3,2,4.0,0.53,61.54,166
20,6,2.93,44.87,18,8,9,10,0,0,5,6,3,1,2.0,0.0,76.02,1060
37,9,8.93,44.79,13,3,3,22,0,0,37,10,4,2,4.0,0.32,41.62,634
53,10,10.33,31.92,16,6,2,7,3,0,37,11,5,5,3.0,0.05,73.1,886
36,10,39.86,22.86,13,5,5,16,0,0,42,3,1,0,4.0,0.13,100.0,39
43,11,12.69,23.81,11,10,6,12,2,0,22,2,3,1,4.0,0.21,26.4,813
20,8,9.63,43.82,9,8,2,24,1,0,30,4,2,4,4.0,0.93,74.81,691
36,9,16.11,52.6,10,5,4,13,1,0,37,5,1,2,5.0,0.82,86.01,1164
37,8,8.25,28.45,8,10,2,8,0,0,34,5,3,1,1.0,0.93,43.15,526
49,4,5.46,63.14,17,5,6,9,1,0,29,7,7,1,4.0,0.99,68.05,244
24,8,4.54,39.88,19,5,6,18,0,0,15,3,4,1,5.0,0.23,57.86,124
58,10,8.81,45.35,10,4,5,11,0,0,10,4,3,3,3.0,0.01,76.14,907
50,6,4.89,34.47,9,6,5,10,0,0,29,4,2,2,4.0,0.06,75.26,177
57,12,17.07,22.74,16,7,4,9,0,0,5,12,4,3,3.0,0.19,33.01,106
56,7,14.31,5.0,18,6,4,13,0,0,25,4,4,0,4.0,0.66,77.71,100
35,11,6.26,70.23,16,3,7,23,1,0,5,5,5,1,4.0,0.34,63.16,29
57,14,22.59,63.25,12,3,4,12,1,0,39,8,3,1,4.0,0.38,82.53,442
18,10,25.32,65.73,10,10,4,10,0,0,32,8,9,1,4.0,0.82,57.67,522
28,6,15.65,5.0,13,5,6,9,1,0,10,5,1,1,5.0,0.41,77.35,585
45,9,1.2,24.39,5,3,9,4,1,0,23,4,2,1,3.0,0.25,38.43,921
42,7,18.58,77.93,8,7,3,20,1,0,14,6,3,0,4.0,0.75,86.83,505
40,11,11.8,63.7,5,10,3,17,0,0,10,2,4,4,4.0,0.48,68.19,248
48,12,28.49,18.23,12,5,7,16,1,0,17,8,1,2,2.0,0.36,71.51,576
47,6,24.22,43.13,12,4,5,14,1,1,9,5,5,2,5.0,0.46,64.95,832
59,6,23.51,47.31,13,5,3,11,0,0,10,5,5,4,5.0,0.31,70.32,1047
52,6,5.46,43.72,10,4,3,5,0,0,21,6,4,1,4.0,0.71,55.88,137
24,10,11.58,23.31,17,11,4,6,1,0,39,9,3,4,4.0,0.52,64.88,1114
33,6,7.9,39.09,13,5,2,16,0,0,17,5,3,1,4.0,0.93,44.75,792
43,8,4.27,39.94,12,8,4,18,1,0,44,7,3,2,3.0,0.45,97.66,432
19,6,7.12,27.97,9,6,4,22,0,0,11,8,3,1,3.0,0.34,46.38,648
18,9,19.26,53.08,13,3,3,19,0,0,3,4,4,3,3.0,0.03,65.79,1074
29,8,2.67,60.77,17,6,8,20,0,0,5,5,2,2,5.0,0.67,58.41,388
22,4,15.64,71.37,12,4,2,23,1,0,0,3,1,2,3.0,0.6,66.78,507
54,7,5.58,65.22,12,7,5,18,0,0,28,6,4,1,4.0,0.16,56.12,940
49,12,9.46,46.58,8,2,5,17,0,0,24,7,3,2,4.0,0.18,79.88,679
26,5,11.61,30.25,14,2,5,17,0,1,2,5,1,2,2.0,0.6,34.0,1109
58,7,18.65,54.79,16,6,9,12,0,1,44,7,4,1,3.0,0.21,88.4,1010
52,11,16.43,13.92,10,4,2,20,0,1,43,8,5,0,4.0,0.51,70.23,116
36,11,31.29,25.97,14,5,3,12,1,0,15,6,1,3,2.0,0.7,58.27,258
33,6,6.61,68.16,10,9,4,4,0,0,3,11,6,1,1.0,0.95,89.0,1024
20,9,24.75,58.79,13,0,3,23,0,0,6,11,3,2,2.0,0.95,66.83,637
37,9,30.56,47.28,7,6,1,3,1,1,2,6,5,2,4.0,0.01,86.09,1027
41,10,8.41,90.56,14,3,2,24,1,0,9,3,1,3,3.0,0.02,66.83,770
50,10,13.81,59.92,9,2,3,19,3,0,24,6,3,0,4.0,0.22,52.21,481
41,18,10.79,53.3,24,5,1,11,2,0,23,5,0,4,3.0,0.09,85.79,132
28,6,1.56,31.43,9,9,3,9,0,0,44,9,1,0,4.0,0.56,71.76,109
25,11,9.22,16.01,15,6,2,11,2,0,36,5,2,2,4.0,0.64,59.85,953
53,8,3.95,5.0,10,8,5,12,0,0,1,6,3,1,4.0,0.13,83.62,1161
55,3,21.24,41.75,16,4,6,22,2,1,17,7,2,2,4.0,0.06,86.15,303
57,5,11.55,33.19,19,2,4,10,1,0,10,5,3,1,4.0,0.51,61.01,599
37,11,4.04,49.86,19,2,4,18,1,0,44,4,5,5,3.0,0.49,76.85,806
52,8,14.99,71.79,9,5,4,5,2,0,10,6,6,2,4.0,0.44,82.21,535
42,10,20.83,83.03,13,4,3,20,1,1,43,7,2,4,4.0,0.22,56.38,677
52,8,9.53,60.6,13,8,6,22,0,0,13,4,3,4,5.0,0.44,54.48,204
42,7,35.61,59.69,10,5,6,12,0,0,3,1,3,1,4.0,0.95,76.13,852
46,9,22.26,16.85,13,6,7,8,0,0,4,12,4,2,4.0,0.37,59.61,820
35,7,17.33,25.1,12,7,3,12,1,0,26,7,3,2,5.0,0.91,56.76,934
35,12,20.77,15.83,12,8,5,3,2,1,22,8,2,2,3.0,0.11,62.23,634
19,4,12.72,56.09,5,9,6,15,0,0,14,7,4,1,5.0,0.29,45.38,425
52,16,2.38,52.45,16,7,2,15,0,0,14,5,4,0,4.0,0.15,54.22,1097
33,7,16.71,28.13,14,0,6,15,0,0,28,5,2,2,1.0,0.81,65.35,556
58,4,22.81,62.16,20,3,4,10,0,1,18,4,2,1,4.0,0.29,96.94,1082
53,12,11.33,31.48,12,4,8,10,0,0,34,8,2,4,5.0,0.06,38.45,1198
50,13,13.4,64.1,13,5,6,13,0,1,32,8,6,2,3.0,0.96,68.58,701
21,5,14.82,9.59,11,7,1,4,0,0,22,3,2,2,4.0,0.25,67.38,399
50,7,6.74,71.36,6,8,1,5,0,0,1,2,2,1,3.0,0.46,65.01,583
31,8,25.47,13.51,12,5,6,14,0,1,18,9,7,0,4.0,0.6,60.37,452
38,7,5.56,39.33,15,5,4,5,1,1,6,5,1,1,3.0,1.0,79.24,1026
37,6,13.96,54.05,15,3,4,20,0,0,27,11,4,2,5.0,0.39,49.64,383
25,8,31.3,42.31,11,4,3,7,1,0,36,8,2,0,4.0,0.27,45.08,217
24,8,11.44,73.91,12,9,3,13,0,0,20,8,0,1,4.0,0.6,88.96,7
20,8,44.46,55.68,13,5,4,12,0,0,14,6,3,1,4.0,0.96,62.28,64
34,9,21.01,16.45,8,5,5,23,1,0,32,9,5,3,4.0,0.66,47.95,654
50,6,11.14,68.9,9,2,9,15,0,0,27,9,2,3,4.0,0.31,64.27,371
29,4,19.33,5.0,17,8,6,24,0,0,23,5,7,3,2.0,0.25,59.67,324
39,5,22.41,48.37,10,3,4,10,0,0,28,3,4,1,3.0,0.4,79.97,98
39,5,15.71,72.64,10,11,7,12,0,1,9,5,1,1,4.0,0.98,59.11,1071
47,12,13.55,60.14,6,4,4,14,0,0,4,7,5,2,3.0,0.75,85.28,1024
55,5,6.79,41.87,21,7,4,21,0,0,29,8,1,1,4.0,0.57,62.95,150
55,4,17.55,70.87,17,5,3,22,0,0,10,4,3,2,4.0,0.34,69.36,876
25,8,6.03,42.28,12,7,4,5,0,0,35,3,0,2,5.0,0.49,43.85,14
44,8,10.57,47.31,14,2,3,14,0,0,6,3,4,2,4.0,0.16,56.84,233
44,7,1.49,15.51,15,3,1,17,0,1,21,5,6,2,4.0,0.35,48.02,382
51,8,26.07,23.1,9,4,3,19,0,0,15,9,2,4,4.0,0.48,79.29,519
